problem,competitor,p_value,v3_mean_direction,significant
WeldedBeam,CA-static,0.3516369690050007,better,no
WeldedBeam,GWO,0.0977510554485991,worse,no
WeldedBeam,PSO,0.0384692450879587,worse,yes
WeldedBeam,GA,0.0003665756780903,better,yes
WeldedBeam,WOA,3.878714475901378e-11,better,yes
Spring,CA-static,0.2197822608161407,better,no
Spring,GWO,0.214276509861477,worse,no
Spring,PSO,0.882465683286275,better,no
Spring,GA,0.0002320278143607,better,yes
Spring,WOA,0.0014059055114728,better,yes
PressureVessel,CA-static,0.7449863001756435,worse,no
PressureVessel,GWO,0.0546088652321405,worse,no
PressureVessel,PSO,0.0546088652321405,better,no
PressureVessel,GA,8.513441062163692e-07,better,yes
PressureVessel,WOA,3.175217248667983e-11,better,yes
SpeedReducer,CA-static,0.0022657813274275,better,yes
SpeedReducer,GWO,2.871949066320324e-11,better,yes
SpeedReducer,PSO,4.420496863208284e-06,better,yes
SpeedReducer,GA,2.871949066320324e-11,better,yes
SpeedReducer,WOA,2.871949066320324e-11,better,yes
ThreeBarTruss,CA-static,0.2804704772772293,worse,no
ThreeBarTruss,GWO,2.871949066320324e-11,better,yes
ThreeBarTruss,PSO,4.7340206841988894e-11,better,yes
ThreeBarTruss,GA,2.871949066320324e-11,better,yes
ThreeBarTruss,WOA,2.871949066320324e-11,better,yes
GearTrain,CA-static,0.6789005364668961,better,no
GearTrain,GWO,0.6520436224006357,better,no
GearTrain,PSO,0.0377820178941672,better,yes
GearTrain,GA,0.2837780479456242,better,no
GearTrain,WOA,4.619232489580058e-07,better,yes
CantileverBeam,CA-static,0.110328593661621,worse,no
CantileverBeam,GWO,9.180874242698784e-07,better,yes
CantileverBeam,PSO,0.0059612885288647,better,yes
CantileverBeam,GA,2.871949066320324e-11,better,yes
CantileverBeam,WOA,2.871949066320324e-11,better,yes
WeldedBeam,L-SHADE,2.871949066320324e-11,worse,yes
WeldedBeam,CMA-ES,2.871949066320324e-11,worse,yes
Spring,L-SHADE,6.8120053408138045e-09,worse,yes
Spring,CMA-ES,4.373305062467303e-09,worse,yes
PressureVessel,L-SHADE,3.999807467435263e-09,worse,yes
PressureVessel,CMA-ES,9.180874242698784e-07,worse,yes
SpeedReducer,L-SHADE,1.1284385347961887e-05,worse,yes
SpeedReducer,CMA-ES,2.1283923628122785e-09,worse,yes
ThreeBarTruss,L-SHADE,2.1283923628122785e-09,worse,yes
ThreeBarTruss,CMA-ES,1.856733730733389e-09,worse,yes
GearTrain,L-SHADE,8.01074760292363e-06,worse,yes
GearTrain,CMA-ES,0.8533817367547931,better,no
CantileverBeam,L-SHADE,2.871949066320324e-11,worse,yes
CantileverBeam,CMA-ES,2.871949066320324e-11,worse,yes
